date,api_key,team,model,request_count,prompt_tokens,completion_tokens,cost_usd
2025-11-11,key-devagent-prod,DevAgent,gpt-5.4,5132,20358644,5922328,139.73
2025-11-11,key-digestbot-prod,DigestBot,claude-haiku-4-5,11198,42216460,9563092,72.03
2025-11-11,key-kyc-prod,KYC,claude-sonnet-4-6,8257,19816800,4004645,119.52
2025-11-11,key-marketing-prod,Marketing,gpt-5.4-mini,90,119520,153450,0.78
2025-11-11,key-research-shared,Research,claude-sonnet-4-6,248,907680,164176,5.19
2025-11-11,key-research-shared,,claude-sonnet-4-6,280,800000,195000,5.33
2025-11-12,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,36180,75869460,15376500,458.26
2025-11-12,key-devagent-prod,DevAgent,gpt-5.4,4885,21806640,5666600,139.52
2025-11-12,key-digestbot-prod,DigestBot,claude-haiku-4-5,9918,39404214,9471690,69.41
2025-11-12,key-kyc-prod,KYC,claude-sonnet-4-6,8617,20956544,4075841,124.01
2025-11-12,key-research-shared,Research,claude-sonnet-4-6,1897,5833275,1418956,38.78
2025-11-13,key-devagent-prod,DevAgent,gpt-5.4,5634,25003692,6732630,163.5
2025-11-13,key-digestbot-prod,DigestBot,claude-haiku-4-5,9245,33383695,8228050,59.62
2025-11-13,key-kyc-prod,KYC,claude-sonnet-4-6,9277,23257439,4221035,133.09
2025-11-13,key-marketing-prod,Marketing,gpt-5.4-mini,96,128736,184800,0.93
2025-11-13,key-research-shared,Research,claude-sonnet-4-6,218,708718,140392,4.23
2025-11-14,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,31821,68446971,14319450,420.13
2025-11-14,key-devagent-prod,DevAgent,gpt-5.4,4677,22038024,5425320,136.47
2025-11-14,key-digestbot-prod,DigestBot,claude-haiku-4-5,11207,40300372,9077670,68.55
2025-11-14,key-kyc-prod,KYC,claude-sonnet-4-6,9187,25512299,4657809,146.4
2025-11-15,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,7968,17354304,3131424,99.03
2025-11-15,key-devagent-prod,DevAgent,gpt-5.4,5581,23987138,8151745,182.24
2025-11-15,key-digestbot-prod,DigestBot,claude-haiku-4-5,9153,32319243,8622126,60.34
2025-11-15,key-research-shared,Research,claude-sonnet-4-6,1986,7524954,1320690,42.39
2025-11-16,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,7245,15975225,3093615,94.33
2025-11-16,key-devagent-prod,DevAgent,gpt-5.4,8776,37078600,20426781,399.1
2025-11-16,key-digestbot-prod,DigestBot,claude-haiku-4-5,10525,38300475,8746275,65.63
2025-11-16,key-research-shared,Research,claude-sonnet-4-6,875,2872625,648375,18.34
2025-11-17,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,29703,66297096,12891102,392.26
2025-11-17,key-advisorchat-prod,AdvisorChat,gpt-4o,552,2224560,470856,10.27
2025-11-17,key-devagent-prod,DevAgent,gpt-5.4,10498,41677060,29308808,543.82
2025-11-17,key-digestbot-prod,DigestBot,claude-haiku-4-5,9442,34529394,7865186,59.08
2025-11-17,key-kyc-prod,KYC,claude-sonnet-4-6,9914,25597948,5165194,154.27
2025-11-17,key-kyc-prod,KYC,claude-sonnet-4-6,9100,24050000,4380000,
2025-11-17,key-research-shared,Research,claude-sonnet-4-6,148,419136,107152,2.86
2025-11-18,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,28714,64864926,12863872,387.55
2025-11-18,key-devagent-prod,DevAgent,gpt-5.4,10069,47082644,43767718,774.22
2025-11-18,key-digestbot-prod,DigestBot,claude-haiku-4-5,10610,41028870,10472070,74.71
2025-11-18,key-kyc-prod,KYC,claude-sonnet-4-6,9938,23801510,5068380,147.43
2025-11-18,key-marketing-prod,Marketing,gpt-5.4-mini,61,85705,131089,0.65
2025-11-18,key-personal-mhuber,,gpt-5.4,19270,115716350,25629100,673.73
2025-11-18,key-research-shared,Research,claude-sonnet-4-6,246,863460,169494,5.13
2025-11-19,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,35918,82108548,13720676,452.14
2025-11-19,key-devagent-prod,DevAgent,gpt-5.4,10909,48403233,49554376,864.32
2025-11-19,key-digestbot-prod,DigestBot,claude-haiku-4-5,10402,41608000,8498434,67.28
2025-11-19,key-kyc-prod,KYC,claude-sonnet-4-6,9025,22075150,4747150,137.43
2025-11-19,key-marketing-prod,Marketing,gpt-5.4-mini,101,156449,173518,0.9
2025-11-19,key-personal-mhuber,,gpt-5.4,16658,96866270,25170238,619.72
2025-11-19,key-research-shared,Research,claude-sonnet-4-6,149,549810,138421,3.73
2025-11-20,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,34842,80589546,15678900,476.95
2025-11-20,key-devagent-prod,DevAgent,gpt-5.4,13189,61065070,60601293,1061.68
2025-11-20,key-digestbot-prod,DigestBot,claude-haiku-4-5,11196,40563108,9561384,70.7
2025-11-20,key-kyc-prod,KYC,claude-sonnet-4-6,8367,22724772,4317372,132.93
2025-11-21,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,36571,85576140,16310666,501.39
2025-11-21,key-devagent-prod,DevAgent,gpt-5.4,16638,80444730,93521193,1603.93
2025-11-21,key-digestbot-prod,DigestBot,claude-haiku-4-5,11144,39126584,10497648,73.29
2025-11-21,key-kyc-prod,KYC,claude-sonnet-4-6,9021,25069359,4591689,144.08
2025-11-21,key-marketing-prod,Marketing,gpt-5.4-mini,103,176645,183031,0.96
2025-11-22,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8759,20732553,3643744,116.85
2025-11-22,key-devagent-prod,DevAgent,gpt-5.4,12856,53583808,63528868,1086.89
2025-11-22,key-digestbot-prod,DigestBot,claude-haiku-4-5,9415,37462285,8002750,61.98
2025-11-22,key-personal-mhuber,,gpt-5.4,19680,113888160,28319520,709.51
2025-11-23,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,7759,18575046,3569140,109.26
2025-11-23,key-devagent-prod,DevAgent,gpt-5.4,17116,71065632,101158400,1695.04
2025-11-23,key-digestbot-prod,DigestBot,claude-haiku-4-5,10108,41109236,8389640,66.45
2025-11-23,key-research-shared,Research,claude-sonnet-4-6,211,633422,188001,4.72
2025-11-23,key-research-shared,Research,claude-opus-4-7,42,265000,61000,8.55
2025-11-24,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,31389,75992769,14438940,444.56
2025-11-24,key-advisorchat-prod,AdvisorChat,gpt-4o,483,1800624,369012,8.19
2025-11-24,key-devagent-prod,DevAgent,gpt-5.4,16379,76997679,108959313,1826.88
2025-11-24,key-digestbot-prod,DigestBot,claude-haiku-4-5,8846,35755532,7466024,58.47
2025-11-24,key-kyc-prod,KYC,claude-sonnet-4-6,8201,21101173,3944681,122.47
2025-11-24,key-marketing-prod,Marketing,gpt-5.4-mini,75,132675,175200,0.89
2025-11-25,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,35840,87736320,15052800,489.0
2025-11-25,key-devagent-prod,DevAgent,gpt-5.4,14456,68911752,77715934,1338.02
2025-11-25,key-digestbot-prod,DigestBot,claude-haiku-4-5,10500,38787000,9817500,70.3
2025-11-25,key-kyc-prod,KYC,claude-sonnet-4-6,9655,23857505,4779225,143.26
2025-11-25,key-marketing-prod,Marketing,gpt-5.4-mini,85,135320,167535,0.86
2025-11-25,key-research-shared,Research,claude-sonnet-4-6,823,2106880,601613,15.34
2025-11-26,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,31444,77823900,12420380,419.78
2025-11-26,key-devagent-prod,DevAgent,gpt-5.4,15598,67414556,92318086,1553.31
2025-11-26,key-digestbot-prod,DigestBot,claude-haiku-4-5,9919,40102517,9452807,69.89
2025-11-26,key-kyc-prod,KYC,claude-sonnet-4-6,8558,20770266,4116398,124.06
2025-11-27,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,29356,73448712,11566264,393.84
2025-11-27,key-devagent-prod,DevAgent,gpt-5.4,15583,64965527,85990505,1452.27
2025-11-27,key-digestbot-prod,DigestBot,claude-haiku-4-5,8573,31240012,7672835,55.68
2025-11-27,key-kyc-prod,KYC,claude-sonnet-4-6,10496,25421312,4943616,150.42
2025-11-27,key-research-shared,Research,claude-sonnet-4-6,157,540080,145225,3.8
2025-11-28,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,35700,90285300,15815100,508.08
2025-11-28,key-advisorchat-prod,AdvisorChat,gpt-4o,509,1784554,518671,9.65
2025-11-28,key-devagent-prod,DevAgent,gpt-5.4,13296,54566784,67484990,1148.69
2025-11-28,key-digestbot-prod,DigestBot,claude-haiku-4-5,9156,36477504,8560860,63.43
2025-11-28,key-kyc-prod,KYC,claude-sonnet-4-6,9398,24650954,4886960,147.26
2025-11-28,key-research-shared,Research,claude-sonnet-4-6,2643,9979968,2444775,66.61
2025-11-29,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,8114,20739384,3675642,117.35
2025-11-29,key-devagent-prod,DevAgent,gpt-5.4,13862,64430576,86960668,1465.49
2025-11-29,key-digestbot-prod,DigestBot,claude-haiku-4-5,10730,40602320,9184880,69.22
2025-11-29,key-research-shared,Research,claude-sonnet-4-6,2108,6583284,1829744,47.2
2025-11-30,key-advisorchat-prod,AdvisorChat,claude-sonnet-4-6,7362,19016046,2988972,101.88
2025-11-30,key-devagent-prod,DevAgent,gpt-5.4,14473,59701125,68222405,1172.59
2025-11-30,key-digestbot-prod,DigestBot,claude-haiku-4-5,11179,39618376,9356823,69.12
2025-11-30,key-research-shared,Research,claude-sonnet-4-6,820,2535440,578920,16.29
